,epochs,success_rate
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.1
7,8,0.0
8,9,0.0
9,10,0.0
10,11,0.0
11,12,0.0
12,13,0.0
13,14,0.0
14,15,0.0
15,16,0.1
16,17,0.1
17,18,0.3
18,19,0.0
19,20,0.3
20,21,0.3
21,22,0.0
22,23,0.3
23,24,0.2
24,25,0.3
25,26,0.0
26,27,0.2
27,28,0.2
28,29,0.3
29,30,0.3
30,31,0.4
31,32,0.2
32,33,0.2
33,34,0.5
34,35,0.7
35,36,0.3
36,37,0.4
37,38,0.5
38,39,0.5
39,40,0.3
40,41,0.6
41,42,0.5
42,43,0.6
43,44,0.7
44,45,0.7
45,46,0.4
46,47,0.7
47,48,0.4
48,49,0.6
49,50,0.5
50,51,0.5
51,52,0.8
52,53,0.9
53,54,0.9
54,55,0.9
55,56,0.7
56,57,0.8
57,58,1.0
58,59,0.6
59,60,0.7
60,61,0.8
61,62,0.9
62,63,0.6
63,64,0.7
64,65,1.0
65,66,0.9
66,67,0.9
67,68,0.9
68,69,1.0
69,70,0.7
70,71,0.5
71,72,1.0
72,73,0.5
73,74,0.5
74,75,0.7
75,76,0.9
76,77,0.6
77,78,0.6
78,79,1.0
79,80,0.4
80,81,0.9
81,82,0.9
82,83,0.8
83,84,0.8
84,85,0.9
85,86,0.8
86,87,0.6
87,88,0.6
88,89,0.8
89,90,0.9
90,91,0.5
91,92,0.6
92,93,0.9
93,94,0.5
94,95,0.5
95,96,0.4
96,97,0.4
97,98,0.3
98,99,0.5
99,100,0.5
100,101,0.7
101,102,0.7
102,103,0.8
103,104,0.9
104,105,0.8
105,106,0.8
106,107,0.9
107,108,0.7
108,109,0.9
109,110,0.7
110,111,0.7
111,112,0.6
112,113,0.5
113,114,0.9
114,115,0.7
115,116,1.0
116,117,0.7
117,118,0.7
118,119,0.8
119,120,0.4
120,121,0.6
121,122,0.3
122,123,0.8
123,124,0.5
124,125,0.7
125,126,0.2
126,127,0.8
127,128,0.6
128,129,0.6
129,130,0.6
130,131,0.6
131,132,0.6
132,133,0.6
133,134,0.9
134,135,0.9
135,136,0.7
136,137,0.8
137,138,0.8
138,139,0.7
139,140,0.5
140,141,0.5
141,142,0.6
142,143,0.7
143,144,0.8
144,145,0.7
145,146,0.5
146,147,0.6
147,148,0.7
148,149,0.8
149,150,0.6
150,151,0.9
151,152,0.6
152,153,0.4
153,154,0.1
154,155,0.6
155,156,0.6
156,157,0.5
157,158,0.7
158,159,0.7
159,160,0.3
160,161,0.4
161,162,0.5
162,163,0.8
163,164,0.6
164,165,0.6
165,166,0.3
166,167,0.1
167,168,0.4
168,169,0.8
169,170,0.7
170,171,0.8
171,172,0.6
172,173,0.5
173,174,0.6
174,175,0.5
175,176,0.8
176,177,0.5
177,178,0.8
178,179,0.8
179,180,0.6
180,181,0.8
181,182,0.8
182,183,0.7
183,184,0.4
184,185,0.4
185,186,0.5
186,187,0.8
187,188,0.7
188,189,0.9
189,190,0.7
190,191,0.3
191,192,0.5
192,193,1.0
193,194,0.8
194,195,0.8
195,196,0.6
196,197,0.6
197,198,0.7
198,199,0.8
199,200,0.8
200,201,0.8
201,202,0.7
202,203,0.7
203,204,0.6
204,205,0.4
205,206,0.4
206,207,0.7
207,208,0.6
208,209,0.4
209,210,0.4
210,211,0.7
211,212,0.4
212,213,0.6
213,214,0.2
214,215,0.5
215,216,0.4
216,217,0.7
217,218,0.6
218,219,0.7
219,220,0.4
220,221,0.7
221,222,0.6
222,223,0.5
223,224,0.5
224,225,0.5
225,226,0.6
226,227,0.6
227,228,0.6
228,229,0.5
229,230,0.2
230,231,0.2
231,232,0.2
232,233,0.4
233,234,0.6
234,235,0.6
235,236,0.3
236,237,0.8
237,238,0.4
238,239,0.6
239,240,0.1
240,241,0.3
241,242,0.4
242,243,0.6
243,244,0.6
244,245,0.5
245,246,0.8
246,247,0.6
247,248,0.5
248,249,0.8
249,250,0.7
