,success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.1
22,0.1
23,0.1
24,0.2
25,0.2
26,0.2
27,0.3
28,0.2
29,0.1
30,0.6
31,0.2
32,0.3
33,0.3
34,0.3
35,0.2
36,0.5
37,0.0
38,0.3
39,0.1
40,0.2
41,0.3
42,0.5
43,0.1
44,0.4
45,0.3
46,0.1
47,0.1
48,0.1
49,0.4
50,0.2
51,0.3
52,0.3
53,0.4
54,0.2
55,0.2
56,0.6
57,0.5
58,0.6
59,0.8
60,0.8
61,0.8
62,0.8
63,0.7
64,1.0
65,0.8
66,1.0
67,0.9
68,1.0
69,1.0
70,0.9
71,0.9
72,0.7
73,1.0
74,0.9
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,0.9
82,1.0
83,1.0
84,0.9
85,0.8
86,1.0
87,1.0
88,0.9
89,1.0
90,0.9
91,1.0
92,0.7
93,1.0
94,0.6
95,1.0
96,0.9
97,0.9
98,0.6
99,1.0
100,0.8
101,0.9
102,1.0
103,1.0
104,0.9
105,1.0
106,1.0
107,0.9
108,1.0
109,1.0
110,1.0
111,1.0
112,0.8
113,0.9
114,0.9
115,0.8
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,0.9
123,1.0
124,1.0
125,0.9
126,0.9
127,0.9
128,0.8
129,0.9
130,0.6
131,1.0
132,0.7
133,0.9
134,0.9
135,0.9
136,1.0
137,1.0
138,1.0
139,1.0
140,0.9
141,1.0
142,0.9
143,0.9
144,0.9
145,0.9
146,0.9
147,1.0
148,1.0
149,0.8
150,0.9
151,0.9
152,0.9
153,0.9
154,0.9
155,0.8
156,1.0
157,1.0
158,1.0
159,0.8
160,1.0
161,0.9
162,0.9
163,1.0
164,0.8
165,1.0
166,0.9
167,0.9
168,0.9
169,0.8
170,0.9
171,0.8
172,0.9
173,1.0
174,0.9
175,1.0
176,1.0
177,1.0
178,1.0
179,0.9
180,1.0
181,0.8
182,1.0
183,0.7
184,0.9
185,0.9
186,0.9
187,0.8
188,0.5
189,1.0
190,0.8
191,0.9
192,0.8
193,0.7
194,0.9
195,0.9
196,1.0
197,0.9
198,1.0
199,1.0
200,0.9
201,0.9
202,0.8
203,1.0
204,0.7
205,0.8
206,0.6
207,0.8
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,0.9
215,0.9
216,0.9
217,0.9
218,0.9
219,0.9
220,0.9
221,0.8
222,0.9
223,0.9
224,0.8
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
