,epochs,success_rate
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.0
8,9,0.0
9,10,0.0
10,11,0.0
11,12,0.0
12,13,0.0
13,14,0.0
14,15,0.0
15,16,0.1
16,17,0.3
17,18,0.0
18,19,0.1
19,20,0.0
20,21,0.2
21,22,0.4
22,23,0.3
23,24,0.2
24,25,0.4
25,26,0.6
26,27,0.3
27,28,0.3
28,29,0.4
29,30,0.5
30,31,0.0
31,32,0.3
32,33,0.3
33,34,0.3
34,35,0.4
35,36,0.4
36,37,0.6
37,38,0.7
38,39,0.7
39,40,0.4
40,41,0.5
41,42,0.2
42,43,0.2
43,44,0.6
44,45,0.4
45,46,0.4
46,47,0.8
47,48,0.8
48,49,0.6
49,50,0.6
50,51,0.6
51,52,0.7
52,53,0.8
53,54,0.7
54,55,0.7
55,56,0.8
56,57,0.4
57,58,0.8
58,59,0.3
59,60,0.8
60,61,0.9
61,62,0.9
62,63,1.0
63,64,0.6
64,65,0.5
65,66,0.8
66,67,0.7
67,68,0.2
68,69,0.7
69,70,0.8
70,71,0.7
71,72,0.9
72,73,0.8
73,74,0.6
74,75,0.8
75,76,0.7
76,77,0.7
77,78,0.8
78,79,0.5
79,80,0.8
80,81,0.8
81,82,0.7
82,83,1.0
83,84,0.9
84,85,0.8
85,86,0.8
86,87,0.8
87,88,1.0
88,89,0.5
89,90,0.7
90,91,0.8
91,92,0.6
92,93,0.7
93,94,0.4
94,95,0.7
95,96,0.7
96,97,0.6
97,98,0.6
98,99,0.8
99,100,0.6
100,101,0.8
101,102,0.6
102,103,0.6
103,104,0.5
104,105,0.5
105,106,0.7
106,107,0.8
107,108,0.7
108,109,0.7
109,110,0.9
110,111,0.7
111,112,0.6
112,113,1.0
113,114,0.8
114,115,0.7
115,116,0.8
116,117,0.7
117,118,0.8
118,119,0.9
119,120,0.7
120,121,0.7
121,122,0.8
122,123,0.7
123,124,0.9
124,125,0.9
125,126,0.9
126,127,0.9
127,128,0.5
128,129,0.9
129,130,0.9
130,131,0.9
131,132,0.4
132,133,0.9
133,134,0.9
134,135,0.7
135,136,0.8
136,137,0.4
137,138,0.4
138,139,0.5
139,140,0.3
140,141,0.3
141,142,0.3
142,143,0.5
143,144,0.4
144,145,0.4
145,146,0.5
146,147,0.7
147,148,0.8
148,149,0.5
149,150,0.8
150,151,0.4
151,152,0.4
152,153,0.5
153,154,0.4
154,155,0.6
155,156,0.4
156,157,0.8
157,158,0.9
158,159,0.7
159,160,0.7
160,161,0.6
161,162,0.8
162,163,0.5
163,164,0.7
164,165,0.5
165,166,0.6
166,167,0.4
167,168,0.5
168,169,0.5
169,170,0.7
170,171,0.5
171,172,0.4
172,173,0.5
173,174,0.5
174,175,0.6
175,176,0.6
176,177,0.6
177,178,0.9
178,179,0.4
179,180,0.9
180,181,0.5
181,182,0.6
182,183,0.9
183,184,0.9
184,185,0.8
185,186,0.8
186,187,0.8
187,188,0.5
188,189,0.2
189,190,0.4
190,191,0.5
191,192,0.6
192,193,0.6
193,194,0.9
194,195,0.9
195,196,0.9
196,197,0.7
197,198,0.7
198,199,0.5
199,200,0.6
200,201,0.6
201,202,0.5
202,203,0.5
203,204,0.6
204,205,0.3
205,206,0.6
206,207,0.5
207,208,0.5
208,209,0.7
209,210,0.6
210,211,0.6
211,212,0.6
212,213,0.3
213,214,0.3
214,215,0.0
215,216,0.2
216,217,0.4
217,218,0.3
218,219,0.3
219,220,0.6
220,221,0.7
221,222,0.2
222,223,0.3
223,224,0.3
224,225,0.4
225,226,0.2
226,227,0.3
227,228,0.2
228,229,0.5
229,230,0.1
230,231,0.4
231,232,0.3
232,233,0.4
233,234,0.2
234,235,0.2
235,236,0.2
236,237,0.2
237,238,0.0
238,239,0.2
239,240,0.0
240,241,0.2
241,242,0.2
242,243,0.2
243,244,0.3
244,245,0.3
245,246,0.4
246,247,0.7
247,248,0.4
248,249,0.4
249,250,0.5
