,epochs,success_rate
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.0
8,9,0.0
9,10,0.0
10,11,0.0
11,12,0.0
12,13,0.0
13,14,0.2
14,15,0.2
15,16,0.1
16,17,0.4
17,18,0.3
18,19,0.5
19,20,0.4
20,21,0.2
21,22,0.5
22,23,0.4
23,24,0.7
24,25,0.2
25,26,0.7
26,27,0.9
27,28,1.0
28,29,0.9
29,30,0.9
30,31,0.6
31,32,0.5
32,33,0.8
33,34,0.9
34,35,1.0
35,36,1.0
36,37,1.0
37,38,1.0
38,39,1.0
39,40,1.0
40,41,0.9
41,42,1.0
42,43,1.0
43,44,1.0
44,45,1.0
45,46,1.0
46,47,0.9
47,48,1.0
48,49,0.9
49,50,1.0
50,51,0.9
51,52,0.8
52,53,0.9
53,54,1.0
54,55,1.0
55,56,1.0
56,57,1.0
57,58,1.0
58,59,1.0
59,60,0.8
60,61,0.9
61,62,0.6
62,63,0.8
63,64,0.5
64,65,0.9
65,66,0.8
66,67,0.9
67,68,0.8
68,69,0.5
69,70,0.9
70,71,0.8
71,72,0.9
72,73,0.8
73,74,0.8
74,75,0.9
75,76,0.9
76,77,0.8
77,78,0.8
78,79,1.0
79,80,0.8
80,81,0.8
81,82,0.6
82,83,0.7
83,84,1.0
84,85,1.0
85,86,0.9
86,87,0.7
87,88,0.8
88,89,0.7
89,90,0.8
90,91,0.9
91,92,1.0
92,93,0.9
93,94,1.0
94,95,1.0
95,96,0.9
96,97,1.0
97,98,0.9
98,99,0.8
99,100,0.9
100,101,0.8
101,102,0.8
102,103,0.4
103,104,0.5
104,105,0.8
105,106,1.0
106,107,0.9
107,108,0.5
108,109,0.8
109,110,0.8
110,111,0.7
111,112,0.7
112,113,0.9
113,114,0.6
114,115,0.8
115,116,0.7
116,117,0.6
117,118,0.9
118,119,0.8
119,120,0.8
120,121,0.9
121,122,0.9
122,123,0.8
123,124,0.9
124,125,0.8
125,126,0.8
126,127,0.9
127,128,1.0
128,129,0.7
129,130,0.8
130,131,0.5
131,132,0.9
132,133,0.8
133,134,0.6
134,135,0.9
135,136,0.8
136,137,0.8
137,138,0.8
138,139,0.6
139,140,0.7
140,141,0.8
141,142,0.8
142,143,0.4
143,144,0.9
144,145,0.9
145,146,0.9
146,147,0.9
147,148,0.6
148,149,0.9
149,150,0.9
150,151,0.9
151,152,0.8
152,153,0.9
153,154,1.0
154,155,0.8
155,156,0.8
156,157,0.5
157,158,0.7
158,159,0.8
159,160,0.7
160,161,0.5
161,162,0.7
162,163,0.4
163,164,0.7
164,165,1.0
165,166,0.6
166,167,0.8
167,168,0.7
168,169,0.4
169,170,0.5
170,171,0.9
171,172,0.6
172,173,0.4
173,174,0.6
174,175,0.5
175,176,0.2
176,177,0.3
177,178,0.3
178,179,0.7
179,180,1.0
180,181,0.7
181,182,0.3
182,183,0.0
183,184,0.5
184,185,0.4
185,186,0.4
186,187,0.5
187,188,0.7
188,189,0.5
189,190,0.5
190,191,0.5
191,192,0.5
192,193,0.7
193,194,0.6
194,195,0.4
195,196,0.2
196,197,0.4
197,198,0.4
198,199,0.2
199,200,0.3
200,201,0.5
201,202,0.6
202,203,0.8
203,204,0.5
204,205,0.7
205,206,0.6
206,207,0.4
207,208,0.7
208,209,0.7
209,210,0.4
210,211,0.7
211,212,0.7
212,213,0.5
213,214,0.7
214,215,0.4
215,216,0.6
216,217,0.4
217,218,0.8
218,219,0.5
219,220,0.4
220,221,0.5
221,222,0.3
222,223,0.4
223,224,0.2
224,225,0.3
225,226,0.3
226,227,0.8
227,228,0.8
228,229,0.8
229,230,0.6
230,231,1.0
231,232,0.6
232,233,0.8
233,234,0.7
234,235,0.4
235,236,0.4
236,237,0.4
237,238,0.4
238,239,0.1
239,240,0.6
240,241,0.3
241,242,0.5
242,243,0.6
243,244,0.7
244,245,0.5
245,246,0.8
246,247,0.5
247,248,0.7
248,249,0.6
249,250,0.6
