,success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.1
21,0.2
22,0.1
23,0.2
24,0.1
25,0.3
26,0.1
27,0.2
28,0.2
29,0.2
30,0.2
31,0.1
32,0.1
33,0.3
34,0.2
35,0.2
36,0.2
37,0.2
38,0.2
39,0.3
40,0.1
41,0.2
42,0.4
43,0.2
44,0.3
45,0.4
46,0.1
47,0.3
48,0.5
49,0.2
50,0.4
51,0.3
52,0.3
53,0.5
54,0.2
55,0.6
56,0.4
57,0.3
58,0.5
59,0.4
60,0.7
61,0.5
62,0.5
63,0.8
64,0.4
65,0.8
66,0.8
67,1.0
68,0.8
69,1.0
70,1.0
71,1.0
72,0.6
73,0.7
74,1.0
75,0.6
76,0.5
77,0.7
78,0.9
79,0.6
80,1.0
81,0.7
82,0.9
83,0.7
84,1.0
85,0.9
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,0.8
93,0.9
94,0.8
95,1.0
96,1.0
97,1.0
98,0.9
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,0.8
107,0.9
108,1.0
109,0.9
110,0.9
111,1.0
112,0.9
113,1.0
114,1.0
115,1.0
116,1.0
117,0.8
118,0.8
119,0.9
120,1.0
121,0.9
122,0.9
123,0.8
124,0.6
125,0.9
126,0.8
127,0.9
128,0.9
129,0.8
130,0.9
131,1.0
132,1.0
133,0.8
134,1.0
135,1.0
136,1.0
137,0.9
138,0.9
139,1.0
140,1.0
141,0.8
142,1.0
143,1.0
144,1.0
145,0.9
146,1.0
147,1.0
148,1.0
149,0.9
150,1.0
151,1.0
152,0.9
153,0.9
154,0.9
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,0.9
162,0.9
163,0.9
164,0.9
165,1.0
166,0.9
167,0.7
168,1.0
169,0.8
170,0.8
171,0.9
172,0.9
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,0.7
179,0.9
180,0.9
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
