,success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.3
13,0.0
14,0.0
15,0.3
16,0.4
17,0.1
18,0.2
19,0.4
20,0.3
21,0.4
22,0.7
23,0.4
24,0.5
25,0.4
26,0.8
27,0.9
28,0.7
29,0.5
30,0.8
31,0.4
32,0.8
33,0.7
34,0.8
35,0.5
36,0.8
37,0.9
38,1.0
39,0.8
40,0.9
41,0.9
42,0.8
43,1.0
44,1.0
45,1.0
46,1.0
47,0.9
48,1.0
49,0.9
50,1.0
51,1.0
52,0.8
53,1.0
54,0.9
55,0.9
56,0.9
57,0.9
58,0.9
59,1.0
60,0.8
61,0.9
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,0.9
70,1.0
71,0.9
72,1.0
73,1.0
74,1.0
75,1.0
76,0.8
77,0.9
78,0.8
79,1.0
80,0.8
81,0.9
82,0.9
83,1.0
84,0.8
85,0.8
86,1.0
87,0.9
88,0.9
89,0.9
90,0.6
91,0.7
92,0.6
93,0.2
94,0.4
95,0.9
96,0.7
97,1.0
98,1.0
99,1.0
100,0.8
101,1.0
102,0.6
103,0.6
104,0.8
105,0.9
106,1.0
107,0.9
108,1.0
109,0.9
110,0.9
111,1.0
112,1.0
113,0.8
114,1.0
115,1.0
116,0.8
117,1.0
118,0.8
119,0.9
120,0.9
121,1.0
122,0.9
123,0.8
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,0.9
131,1.0
132,0.8
133,1.0
134,0.9
135,0.7
136,0.9
137,0.9
138,0.8
139,0.7
140,0.7
141,0.9
142,1.0
143,0.9
144,1.0
145,0.8
146,1.0
147,0.9
148,1.0
149,1.0
150,0.9
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
