,epochs,success_rate
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.0
8,9,0.0
9,10,0.0
10,11,0.0
11,12,0.1
12,13,0.0
13,14,0.0
14,15,0.0
15,16,0.0
16,17,0.1
17,18,0.0
18,19,0.0
19,20,0.1
20,21,0.0
21,22,0.0
22,23,0.0
23,24,0.2
24,25,0.1
25,26,0.2
26,27,0.1
27,28,0.5
28,29,0.2
29,30,0.6
30,31,0.2
31,32,0.1
32,33,0.4
33,34,0.3
34,35,0.3
35,36,0.3
36,37,0.6
37,38,0.4
38,39,0.4
39,40,0.8
40,41,0.8
41,42,0.7
42,43,1.0
43,44,1.0
44,45,0.8
45,46,1.0
46,47,0.9
47,48,0.9
48,49,1.0
49,50,0.8
50,51,0.9
51,52,0.7
52,53,0.9
53,54,0.9
54,55,0.8
55,56,0.8
56,57,0.7
57,58,0.8
58,59,1.0
59,60,0.9
60,61,0.9
61,62,0.7
62,63,0.6
63,64,0.8
64,65,0.7
65,66,0.6
66,67,0.6
67,68,0.9
68,69,0.8
69,70,0.9
70,71,0.8
71,72,0.8
72,73,0.8
73,74,0.8
74,75,0.7
75,76,0.9
76,77,0.8
77,78,1.0
78,79,0.8
79,80,0.9
80,81,0.8
81,82,0.9
82,83,0.8
83,84,0.9
84,85,0.8
85,86,0.4
86,87,0.6
87,88,0.7
88,89,0.9
89,90,0.5
90,91,1.0
91,92,1.0
92,93,1.0
93,94,0.8
94,95,0.8
95,96,0.9
96,97,1.0
97,98,0.9
98,99,0.9
99,100,0.9
100,101,0.8
101,102,0.9
102,103,0.6
103,104,0.8
104,105,0.5
105,106,0.7
106,107,0.6
107,108,0.9
108,109,1.0
109,110,0.7
110,111,0.8
111,112,0.7
112,113,0.9
113,114,0.7
114,115,0.8
115,116,0.8
116,117,0.8
117,118,0.6
118,119,0.9
119,120,0.4
120,121,0.7
121,122,0.5
122,123,0.9
123,124,0.8
124,125,0.8
125,126,0.7
126,127,0.5
127,128,0.7
128,129,0.5
129,130,0.5
130,131,0.7
131,132,0.8
132,133,0.8
133,134,0.9
134,135,0.9
135,136,0.9
136,137,0.6
137,138,0.7
138,139,0.9
139,140,0.9
140,141,0.9
141,142,1.0
142,143,0.8
143,144,1.0
144,145,0.8
145,146,1.0
146,147,0.8
147,148,1.0
148,149,0.8
149,150,0.8
150,151,0.8
151,152,0.8
152,153,1.0
153,154,0.9
154,155,0.8
155,156,0.9
156,157,0.7
157,158,0.5
158,159,0.8
159,160,1.0
160,161,0.9
161,162,0.6
162,163,0.9
163,164,0.9
164,165,0.9
165,166,0.8
166,167,0.9
167,168,0.7
168,169,0.8
169,170,0.8
170,171,0.7
171,172,0.8
172,173,0.8
173,174,0.7
174,175,0.9
175,176,0.6
176,177,0.8
177,178,0.9
178,179,0.6
179,180,0.7
180,181,0.8
181,182,0.6
182,183,0.9
183,184,0.8
184,185,1.0
185,186,0.7
186,187,0.6
187,188,0.4
188,189,0.5
189,190,0.7
190,191,0.7
191,192,0.1
192,193,0.4
193,194,0.7
194,195,0.8
195,196,0.5
196,197,0.3
197,198,0.3
198,199,0.6
199,200,0.7
200,201,0.5
201,202,0.6
202,203,0.5
203,204,0.6
204,205,0.5
205,206,0.5
206,207,0.6
207,208,0.6
208,209,0.7
209,210,0.6
210,211,0.8
211,212,0.5
212,213,0.9
213,214,0.5
214,215,0.7
215,216,0.5
216,217,0.6
217,218,1.0
218,219,0.8
219,220,0.5
220,221,0.6
221,222,0.6
222,223,0.6
223,224,0.8
224,225,0.9
225,226,0.6
226,227,0.7
227,228,0.5
228,229,0.9
229,230,0.7
230,231,0.6
231,232,0.5
232,233,0.8
233,234,0.6
234,235,0.8
235,236,0.4
236,237,0.7
237,238,0.4
238,239,0.6
239,240,0.0
240,241,0.5
241,242,0.3
242,243,0.3
243,244,0.3
244,245,0.2
245,246,0.6
246,247,0.3
247,248,0.4
248,249,0.4
249,250,0.4
