,success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.1
17,0.2
18,0.5
19,0.3
20,0.1
21,0.3
22,0.1
23,0.0
24,0.1
25,0.2
26,0.3
27,0.4
28,0.3
29,0.2
30,0.3
31,0.8
32,0.3
33,0.2
34,0.5
35,0.8
36,0.8
37,0.7
38,0.7
39,0.9
40,0.3
41,0.6
42,1.0
43,0.8
44,0.9
45,0.8
46,0.8
47,0.9
48,0.8
49,0.9
50,0.6
51,0.5
52,0.6
53,0.4
54,0.7
55,0.7
56,0.8
57,0.9
58,1.0
59,0.9
60,0.7
61,1.0
62,0.4
63,0.9
64,1.0
65,0.9
66,0.9
67,0.9
68,0.8
69,0.7
70,0.8
71,1.0
72,0.7
73,0.7
74,0.9
75,0.9
76,1.0
77,1.0
78,0.9
79,0.8
80,0.6
81,0.9
82,0.8
83,1.0
84,0.8
85,0.9
86,0.5
87,0.8
88,0.8
89,0.8
90,0.9
91,0.6
92,1.0
93,1.0
94,1.0
95,1.0
96,0.7
97,1.0
98,0.9
99,1.0
100,0.8
101,0.9
102,0.7
103,0.7
104,0.6
105,0.9
106,0.8
107,0.6
108,0.3
109,0.6
110,0.8
111,0.6
112,0.6
113,0.4
114,0.6
115,0.9
116,0.8
117,0.7
118,0.7
119,1.0
120,0.5
121,0.6
122,0.9
123,0.8
124,0.8
125,0.8
126,0.7
127,0.5
128,0.5
129,0.6
130,0.8
131,0.2
132,0.5
133,0.2
134,0.7
135,0.8
136,0.4
137,0.9
138,1.0
139,0.5
140,0.5
141,0.7
142,1.0
143,0.7
144,0.8
145,0.6
146,0.9
147,0.9
148,0.9
149,0.8
150,0.9
151,0.9
152,1.0
153,0.8
154,1.0
155,0.6
156,0.9
157,0.7
158,1.0
159,1.0
160,0.9
161,0.8
162,1.0
163,0.7
164,0.9
165,0.7
166,0.2
167,0.7
168,0.6
169,0.2
170,0.3
171,0.3
172,0.6
173,0.9
174,0.5
175,0.3
176,0.6
177,0.4
178,0.7
179,0.7
180,0.5
181,0.9
182,0.9
183,0.8
184,0.6
185,0.8
186,0.1
187,0.6
188,0.7
189,0.6
190,0.9
191,0.6
192,0.4
193,0.7
194,0.4
195,0.5
196,0.5
197,0.6
198,0.4
199,0.6
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
