,epochs,success_rate
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.0
8,9,0.1
9,10,0.1
10,11,0.1
11,12,0.2
12,13,0.1
13,14,0.1
14,15,0.2
15,16,0.2
16,17,0.2
17,18,0.0
18,19,0.1
19,20,0.1
20,21,0.4
21,22,0.7
22,23,0.6
23,24,0.4
24,25,0.5
25,26,0.5
26,27,0.6
27,28,0.8
28,29,0.6
29,30,0.5
30,31,1.0
31,32,1.0
32,33,1.0
33,34,0.8
34,35,0.9
35,36,0.9
36,37,1.0
37,38,0.9
38,39,1.0
39,40,0.9
40,41,1.0
41,42,0.9
42,43,1.0
43,44,0.9
44,45,1.0
45,46,1.0
46,47,1.0
47,48,1.0
48,49,1.0
49,50,1.0
50,51,0.8
51,52,1.0
52,53,1.0
53,54,0.8
54,55,0.8
55,56,1.0
56,57,0.9
57,58,1.0
58,59,0.8
59,60,0.9
60,61,0.9
61,62,1.0
62,63,1.0
63,64,0.8
64,65,0.7
65,66,1.0
66,67,0.7
67,68,1.0
68,69,1.0
69,70,1.0
70,71,0.6
71,72,1.0
72,73,0.9
73,74,0.7
74,75,1.0
75,76,0.8
76,77,0.7
77,78,0.8
78,79,1.0
79,80,0.9
80,81,0.7
81,82,0.9
82,83,0.8
83,84,1.0
84,85,1.0
85,86,0.9
86,87,0.9
87,88,1.0
88,89,0.7
89,90,1.0
90,91,0.9
91,92,0.9
92,93,0.8
93,94,0.7
94,95,1.0
95,96,0.8
96,97,1.0
97,98,0.8
98,99,1.0
99,100,1.0
100,101,0.9
101,102,1.0
102,103,1.0
103,104,0.9
104,105,0.9
105,106,0.9
106,107,0.9
107,108,0.9
108,109,1.0
109,110,0.8
110,111,0.9
111,112,0.5
112,113,0.8
113,114,0.9
114,115,0.9
115,116,1.0
116,117,1.0
117,118,0.9
118,119,0.7
119,120,1.0
120,121,1.0
121,122,1.0
122,123,1.0
123,124,0.9
124,125,0.9
125,126,0.9
126,127,1.0
127,128,1.0
128,129,0.8
129,130,1.0
130,131,0.9
131,132,0.8
132,133,0.9
133,134,1.0
134,135,0.9
135,136,1.0
136,137,0.9
137,138,1.0
138,139,1.0
139,140,1.0
140,141,1.0
141,142,1.0
142,143,0.8
143,144,1.0
144,145,0.9
145,146,0.8
146,147,0.9
147,148,1.0
148,149,0.9
149,150,0.9
150,151,0.9
151,152,0.9
152,153,0.9
153,154,1.0
154,155,1.0
155,156,1.0
156,157,0.9
157,158,1.0
158,159,0.9
159,160,0.8
160,161,1.0
161,162,0.9
162,163,0.9
163,164,1.0
164,165,0.9
165,166,0.9
166,167,0.9
167,168,1.0
168,169,1.0
169,170,1.0
170,171,0.8
171,172,1.0
172,173,1.0
173,174,1.0
174,175,1.0
175,176,1.0
176,177,1.0
177,178,0.9
178,179,1.0
179,180,1.0
180,181,1.0
181,182,0.9
182,183,1.0
183,184,0.9
184,185,0.9
185,186,1.0
186,187,0.9
187,188,0.8
188,189,0.9
189,190,1.0
190,191,0.9
191,192,0.7
192,193,0.7
193,194,0.9
194,195,0.9
195,196,0.7
196,197,1.0
197,198,0.9
198,199,1.0
199,200,0.9
200,201,0.5
201,202,0.9
202,203,1.0
203,204,1.0
204,205,0.7
205,206,1.0
206,207,1.0
207,208,0.9
208,209,1.0
209,210,0.9
210,211,1.0
211,212,1.0
212,213,0.9
213,214,1.0
214,215,0.9
215,216,0.8
216,217,1.0
217,218,0.9
218,219,0.8
219,220,0.9
220,221,0.8
221,222,0.8
222,223,0.9
223,224,1.0
224,225,1.0
225,226,1.0
226,227,1.0
227,228,1.0
228,229,1.0
229,230,1.0
230,231,0.9
231,232,1.0
232,233,0.9
233,234,0.9
234,235,0.7
235,236,0.6
236,237,0.9
237,238,0.8
238,239,0.8
239,240,1.0
240,241,1.0
241,242,0.9
242,243,1.0
243,244,1.0
244,245,0.9
245,246,1.0
246,247,0.9
247,248,0.7
248,249,0.9
249,250,1.0
