,Manipulator_501_0.4,Manipulator_502_0.4,Manipulator_503_0.4,Manipulator_504_0.4,Manipulator_505_0.4,Manipulator_506_0.4,Manipulator_507_0.4,Manipulator_508_0.4,Manipulator_509_0.4,Manipulator_510_0.4,Manipulator_601_0.4,Manipulator_602_0.4,Manipulator_603_0.4,Manipulator_604_0.4,Manipulator_605_0.4,Manipulator_606_0.4,Manipulator_607_0.4,Manipulator_608_0.4,Manipulator_609_0.4,Manipulator_610_0.4,Manipulator_701_0.4,Manipulator_702_0.4,Manipulator_703_0.4,Manipulator_704_0.4,Manipulator_705_0.4,Manipulator_706_0.4,Manipulator_707_0.4,Manipulator_708_0.4,Manipulator_709_0.4,Manipulator_710_0.4
0,0.5,0.7,0.3,0.5,0.7,0.3,0.2,0.5,0.7,0.2,0.7,0.6,0.7,0.4,0.7,0.3,0.8,0.7,0.7,0.2,0.1,0.4,0.2,0.3,0.2,0.2,0.0,0.0,0.1,0.4
1,0.8,0.2,0.1,0.6,0.5,0.3,0.0,0.2,0.6,0.3,0.6,0.6,0.8,0.3,0.5,0.3,0.5,0.4,0.9,0.5,0.3,0.0,0.2,0.2,0.1,0.4,0.2,0.0,0.0,0.2
2,0.8,0.5,0.4,0.6,0.6,0.3,0.0,0.1,0.4,0.4,0.4,0.7,0.5,0.5,0.6,0.5,0.5,0.7,0.4,0.7,0.2,0.6,0.1,0.2,0.2,0.3,0.2,0.2,0.4,0.3
3,0.5,0.5,0.2,0.8,0.4,0.2,0.0,0.4,0.6,0.1,0.8,0.5,0.5,0.5,0.5,0.3,0.5,0.6,0.6,0.7,0.1,0.2,0.3,0.1,0.6,0.1,0.1,0.2,0.1,0.1
4,0.7,0.5,0.4,0.7,0.5,0.3,0.2,0.1,0.3,0.3,0.6,0.5,0.6,0.2,0.7,0.3,0.4,0.7,0.5,0.7,0.0,0.1,0.5,0.1,0.1,0.0,0.0,0.4,0.0,0.2
5,0.7,0.1,0.4,0.6,0.5,0.5,0.1,0.2,0.4,0.3,0.6,0.6,0.5,0.3,0.5,0.6,0.3,0.6,0.5,0.8,0.2,0.5,0.1,0.2,0.3,0.3,0.2,0.3,0.1,0.4
6,0.6,0.4,0.4,0.6,0.6,0.5,0.2,0.6,0.6,0.4,0.6,0.9,0.7,0.4,0.6,0.3,0.6,0.4,0.8,0.8,0.1,0.3,0.3,0.1,0.1,0.2,0.1,0.3,0.3,0.2
7,0.5,0.3,0.4,0.4,0.4,0.5,0.3,0.3,0.4,0.3,0.4,0.6,0.7,0.3,0.6,0.4,0.4,0.8,0.5,0.6,0.5,0.3,0.3,0.1,0.2,0.1,0.0,0.1,0.0,0.2
8,0.6,0.7,0.0,0.8,0.5,0.6,0.1,0.6,0.8,0.2,0.6,0.8,0.6,0.4,0.4,0.2,0.7,0.5,0.5,0.6,0.0,0.3,0.2,0.3,0.3,0.0,0.1,0.2,0.0,0.3
9,0.7,0.5,0.3,0.5,0.7,0.7,0.1,0.2,0.6,0.5,0.6,0.8,0.6,0.3,0.6,0.3,0.5,0.7,0.6,0.6,0.2,0.1,0.2,0.4,0.2,0.1,0.1,0.2,0.1,0.2
